crime_category,Count,Type,City
MISCELLANEOUS,52188,Other,Raleigh
ASSAULT,28513,Assault,Raleigh
LARCENY,24730,Stolen,Raleigh
DRUGS,18155,Other,Raleigh
VANDALISM,15562,Other,Raleigh
LARCENY FROM MV,15137,Stolen,Raleigh
FRAUD,14575,Other,Raleigh
ALL OTHER OFFENSES,11304,Other,Raleigh
DRUG VIOLATIONS,9585,Other,Raleigh
BURGLARY/RESIDENTIAL,8301,Stolen,Raleigh
TRAFFIC,8053,Other,Raleigh
WEAPONS VIOLATION,5412,Other,Raleigh
HUMANE,5373,Other,Raleigh
MV THEFT,4216,Stolen,Raleigh
ROBBERY,3023,Stolen,Raleigh
SEX OFFENSES,2922,Assault,Raleigh
DISORDERLY CONDUCT,2265,Other,Raleigh
BURGLARY/COMMERCIAL,2125,Stolen,Raleigh
STOLEN PROPERTY,1556,Stolen,Raleigh
JUVENILE,1256,Other,Raleigh
UNAUTHORIZED MOTOR VEHICLE USE,1103,Other,Raleigh
EMBEZZLEMENT,801,Other,Raleigh
LIQUOR LAW VIOLATIONS,750,Other,Raleigh
PROSTITUTION,245,Other,Raleigh
ARSON,239,Other,Raleigh
KIDNAPPING,191,Other,Raleigh
EXTORTION,173,Other,Raleigh
OBSCENE MATERIAL,140,Other,Raleigh
MURDER,99,Murder,Raleigh
HUMAN TRAFFICKING,59,Other,Raleigh
GAMBLING,8,Other,Raleigh
BRIBERY,4,Other,Raleigh
SIMPLE ASSAULT,1,Stolen,Raleigh
