crime_category,crime_type,chrgcnt,ucr,district,beat_number,map_reference,incident_number,time_from,time_to,date_from,date_to,crimeday,location_category,lat,lon,apartment_complex,residential_subdivision,activity_date,phxrecordstatus,phxcommunity,phxstatus,record,offensecategory,violentproperty,domestic,location,radio,street
ALL OTHER,ALL OTHER - BLACKMAIL/ EXTORTION,,2630,D1,114,P026,17000426,0001-01-01 03:40:00+00:00,0001-01-01 04:47:00+00:00,1/16/2017,1/16/2017,MONDAY,TOWN OWNED,35.78867141,-78.79625675,,OAKWOOD HEIGHTS,,,No,,3011,All Other Offenses,All Other,N,35.788671414; -78.79625675,Everything,
ALL OTHER,ALL OTHER - BLACKMAIL/ EXTORTION,,2630,D3,118,P004,16009674,0001-01-01 11:53:00+00:00,0001-01-01 15:15:00+00:00,11/10/2016,11/10/2016,THURSDAY,TOWN OWNED,35.74104142,-78.75461019,AMBERWOOD AT LOCHMERE APTS.,AMBERWOOD AT LOCHMERE APTS,26-Mar-13,Suspende,Yes,Active,3019,All Other Offenses,All Other,N,35.741041415; -78.75461019,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,111,P024,17006197,0001-01-01 23:24:00+00:00,0001-01-01 23:24:00+00:00,7/21/2017,7/21/2017,FRIDAY,TOWN OWNED,35.80221161,-78.78662602,,,,,No,,3101,All Other Offenses,All Other,N,35.802211609; -78.78662602,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,113,P060,17008206,0001-01-01 14:45:00+00:00,0001-01-01 14:45:00+00:00,9/22/2017,9/22/2017,FRIDAY,TOWN OWNED,35.78831808,-78.78256802,,TCAP ZONE,,,No,,3198,All Other Offenses,All Other,N,35.788318078; -78.78256802,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,114,P026,16009915,0001-01-01 05:02:00+00:00,0001-01-01 05:02:00+00:00,11/18/2016,11/18/2016,FRIDAY,TOWN OWNED,35.79136937,-78.78357141,,TCAP ZONE,,,No,,3213,All Other Offenses,All Other,N,35.791369365; -78.78357141,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D3,115,P039,17003845,0001-01-01 21:48:56+00:00,0001-01-01 21:48:57+00:00,5/6/2017,5/6/2017,SATURDAY,TOWN OWNED,35.76370236,-78.78703981,ASHTON WOODS APTS.,ASHTON WOODS APARTMENTS,3-Jan-11,Active,Yes,Active,3274,All Other Offenses,All Other,N,35.763702356; -78.78703981,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D3,115,P039,17007237,0001-01-01 15:47:30+00:00,0001-01-01 15:57:31+00:00,8/23/2017,8/23/2017,WEDNESDAY,TOWN OWNED,35.76409649,-78.78649186,SEDGEBROOK APTS.,SEDGEBROOK APARTMENTS,3-Jan-11,Active,Yes,Active,3275,All Other Offenses,All Other,N,35.764096489; -78.78649186,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D3,115,P044,17004078,0001-01-01 14:10:06+00:00,0001-01-01 14:10:07+00:00,5/14/2017,5/14/2017,SUNDAY,TOWN OWNED,35.74004577,-78.78151828,,WAKE MEDICAL CENTER,,,No,,3283,All Other Offenses,All Other,Y,35.740045767; -78.78151828,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,120,P061,17003018,0001-01-01 23:21:13+00:00,0001-01-01 23:21:14+00:00,4/10/2017,4/10/2017,MONDAY,TOWN OWNED,35.7763615,-78.76466468,,CARY VILLAGE SQUARE,,,No,,3433,All Other Offenses,All Other,N,35.776361503; -78.76466468,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,120,P121,17003860,0001-01-01 14:55:01+00:00,0001-01-01 14:55:02+00:00,5/7/2017,5/7/2017,SUNDAY,TOWN OWNED,35.77385099,-78.75931174,,CARY TOWNE CENTER,,,No,,3445,All Other Offenses,All Other,N,35.77385099; -78.75931174,Everything,
ALL OTHER,ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,,2650,D1,120,P121,17004749,0001-01-01 20:50:00+00:00,0001-01-01 20:53:00+00:00,6/3/2017,6/3/2017,SATURDAY,TOWN OWNED,35.77385099,-78.75931174,,CARY TOWNE CENTER,,,No,,3446,All Other Offenses,All Other,N,35.77385099; -78.75931174,Everything,
ALL OTHER,ALL OTHER - FALSE POLICE REPORT,,2690,D1,114,P036,17000662,0001-01-01 09:38:00+00:00,0001-01-01 09:38:00+00:00,1/23/2017,1/23/2017,MONDAY,TOWN OWNED,35.77439951,-78.78840398,,BURTROSE,,,No,,3468,All Other Offenses,All Other,N,35.774399514; -78.78840398,Everything,
ALL OTHER,ALL OTHER - KIDNAPPING,,2620,D1,114,P036,17006247,0001-01-01 02:21:34+00:00,0001-01-01 02:21:34+00:00,7/24/2017,7/24/2017,MONDAY,TOWN OWNED,35.77946031,-78.79406659,CHATHAM FOREST APTS.,CHATHAM FOREST APTS,3-Jan-11,Active,Yes,Active,3549,All Other Offenses,All Other,N,35.779460312; -78.79406659,Everything,
ALL OTHER,ALL OTHER - KIDNAPPING,,2620,D2,117,P014,17005653,0001-01-01 15:38:29+00:00,0001-01-01 15:38:30+00:00,7/3/2017,7/3/2017,MONDAY,TOWN OWNED,35.7824333,-78.85217326,,COLLINS GROVE,,,No,,3558,All Other Offenses,All Other,Y,35.782433303; -78.85217326,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D1,113,P031,17006720,0001-01-01 22:00:00+00:00,0001-01-01 10:00:00+00:00,8/5/2017,8/8/2017,TUESDAY,TOWN OWNED,35.80208062,-78.76984151,GREGORY SOUTH,LANDMARK AT WATERCREST,24-Aug-11,Active,Yes,Active,3640,All Other Offenses,All Other,N,35.802080623; -78.76984151,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D1,113,P060,17006565,0001-01-01 21:45:00+00:00,0001-01-01 21:45:00+00:00,8/2/2017,8/2/2017,WEDNESDAY,TOWN OWNED,35.79471018,-78.76295896,,CENTRAL ZONE,,,No,,3652,All Other Offenses,All Other,N,35.794710182; -78.76295896,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D1,114,P036,17003277,0001-01-01 15:17:00+00:00,0001-01-01 14:50:00+00:00,4/11/2017,4/19/2017,WEDNESDAY,TOWN OWNED,35.78274384,-78.78413394,,DRY PROPERTY,,,No,,3683,All Other Offenses,All Other,N,35.782743839; -78.78413394,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D3,118,P004,17002956,0001-01-01 17:15:00+00:00,0001-01-01 19:45:00+00:00,4/7/2017,4/7/2017,FRIDAY,TOWN OWNED,35.75159082,-78.75587283,,SOUTHEAST ZONE,,,No,,3799,All Other Offenses,All Other,N,35.751590821; -78.75587283,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D3,118,P047,17003739,0001-01-01 21:00:00+00:00,0001-01-01 21:30:00+00:00,5/3/2017,5/3/2017,WEDNESDAY,TOWN OWNED,35.73396524,-78.77661513,,LOCHRIDGE LAKESIDE TWNHMS,,,No,,3816,All Other Offenses,All Other,N,35.733965238; -78.77661513,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D2,121,P069,17005637,0001-01-01 14:30:00+00:00,0001-01-01 17:42:00+00:00,7/2/2017,7/2/2017,SUNDAY,TOWN OWNED,35.81474704,-78.85690374,,LAKERIDGE TOWNHOMES,,,No,,3902,All Other Offenses,All Other,,35.814747039; -78.85690374,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D2,121,P078,17003737,0001-01-01 23:30:00+00:00,0001-01-01 01:30:00+00:00,4/27/2017,5/3/2017,WEDNESDAY,TOWN OWNED,35.80887523,-78.84069153,,PRESTON LINKS,,,No,,3905,All Other Offenses,All Other,N,35.808875231; -78.84069153,Everything,
ALL OTHER,ALL OTHER - MISSING PERSON,,8010,D2,122,P015,17003014,0001-01-01 12:30:00+00:00,0001-01-01 17:50:00+00:00,4/10/2017,4/10/2017,MONDAY,TOWN OWNED,35.81809236,-78.89951901,GROVE AT CARY PARK APTS.,GROVE AT CARY PARK,1-Mar-11,Active,Yes,Active,3909,All Other Offenses,All Other,N,35.818092362; -78.89951901,Everything,
ALL OTHER,ALL OTHER - NON CRIMINAL DETAINMENT,,4040,D3,116,P051,17003266,0001-01-01 10:30:00+00:00,0001-01-01 10:40:00+00:00,4/19/2017,4/19/2017,WEDNESDAY,TOWN OWNED,35.66676164,-78.76070729,,MIDDLE CREEK HIGH SCHOOL,,,No,,3923,All Other Offenses,All Other,N,35.666761638; -78.76070729,Everything,
