incident,date-time,year,date-no year,location,res hall,alcohol
,1/1/13 0:00,2013,01/01,E FRANKLIN ST,NA,
EMS ASSIST,1/1/13 2:25,2013,01/01,AYCOCK CIRCLE PARKING LOT UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/1/13 2:49,2013,01/01,S COLUMBIA ST/E CAMERON AVE,NA,
EMS ASSIST,1/1/14 12:25,2014,01/01,FINLEY CLUB HOUSE UNC,NA,
WELL-BEING CHECK,1/1/14 20:17,2014,01/01,CRAIGE RES HALL UNC,RES HALL,
B&E NON-FORCED ENTRY,1/1/14 23:38,2014,01/01,MURPHEY UNC,NA,
,1/1/15 0:00,2015,01/01,SOUTH RD/S COLUMBIA ST,NA,
,1/1/15 0:00,2015,01/01,CRAIGE PARKING LOT UNC,NA,
EMS ASSIST,1/1/15 18:15,2015,01/01,DOGWOOD PARKING DECK UNC,NA,
DWI-ALCOHOL,1/1/15 19:34,2015,01/01,FRATERNITY COURT,NA,DWI-ALCOHOL
DISTURBANCE,1/1/15 2:16,2015,01/01,PORTHOLE PARKING LOT UNC,NA,
LICENSE CHECK POINT,1/1/16 10:04,2016,01/01,COUNTRY CLUB RD,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/1/17 0:48,2017,01/01,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
POSSESSION OF LESS 1/2 OZ MARIJUAINA,1/1/17 1:11,2017,01/01,E CAMERON AVE,NA,
EMS ASSIST,1/1/17 23:30,2017,01/01,RONALD MCDONALD HOUSE UNC,NA,
EMS ASSIST,1/1/17 5:21,2017,01/01,GRANVILLE TOWERS,GRANVILLE,
FOUND PROPERTY,1/1/18 4:23,2018,01/01,PUBLIC SAFETY BUILDING UNC,NA,
LARCENY OF BICYCLE,1/10/13 0:00,2013,01/10,SASB SOUTH UNC,NA,
,1/10/13 0:00,2013,01/10,E CAMERON AVE/COUNTRY CLUB RD,NA,
,1/10/13 0:00,2013,01/10,HILL ALUMNI CENTER UNC,NA,
EMS ASSIST,1/10/13 13:18,2013,01/10,PAUL HARDIN DR,NA,
LARCENY OF BICYCLE,1/10/13 16:27,2013,01/10,MORRISON RES HALL UNC,RES HALL,
SUSPICIOUS CONDITION (CRIMINAL),1/10/13 19:57,2013,01/10,GRANVILLE TOWERS,GRANVILLE,
ATTEMPTED SUICIDE,1/10/14 0:00,2014,01/10,RONALD MCDONALD HOUSE UNC,NA,
B&E NON-FORCED ENTRY,1/10/14 0:00,2014,01/10,GRANVILLE TOWERS,GRANVILLE,
LARCENY - FROM BUILDING,1/10/14 0:00,2014,01/10,STUDENT RECREATION CENTER UNC,NA,
